iter	RMSE
0	8.309565603
1	7.469121929
2	6.700473308
3	6.050077608
4	5.556330481
5	5.157625603
6	4.785571599
7	4.423717873
8	4.09147032
9	3.824414985
10	3.615623682
11	3.414194586
12	3.261161352
13	3.100623406
14	2.971308142
15	2.858623661
16	2.760489306
17	2.676254382
18	2.585125045
19	2.477017012
20	2.395257135
21	2.318690436
22	2.246562989
23	2.201539794
24	2.143815701
25	2.085929477
26	2.046080558
27	2.013746281
28	1.961264194
29	1.925883577
30	1.881695616
31	1.853524282
32	1.828186035
33	1.809756005
34	1.771661285
35	1.749073675
36	1.722270274
37	1.688950411
38	1.665210545
39	1.637599235
40	1.608038975
41	1.585130568
42	1.56339306
43	1.523766882
44	1.494412143
45	1.470581001
46	1.453812039
47	1.422397847
48	1.389629173
49	1.366590151
50	1.346260737
51	1.3215551
52	1.304009575
53	1.272649205
54	1.251434739
55	1.228069249
56	1.203893301
57	1.182483033
58	1.165926204
59	1.139768554
60	1.122966378
61	1.103818967
62	1.084274348
63	1.07057749
64	1.059042204
65	1.050141881
66	1.035237709
67	1.019209308
68	0.9986727236
69	0.9872226573
70	0.9740540122
71	0.9556412668
72	0.9464898469
73	0.9332835463
74	0.9211630735
75	0.9102256944
76	0.8997045997
77	0.8842671108
78	0.8740014055
79	0.8625542112
80	0.848278949
81	0.8347033325
82	0.8198358266
83	0.8043257273
84	0.7961649838
85	0.7892002373
86	0.7774595485
87	0.772327975
88	0.7619328211
89	0.747399206
90	0.7403163343
91	0.7343388995
92	0.7270973382
93	0.7207260219
94	0.7101147991
95	0.6985624168
96	0.6853658067
97	0.6795812114
98	0.6693292296
99	0.6606333468
100	0.656804361
101	0.6445274083
102	0.6341854418
103	0.6266751764
104	0.617195054
105	0.6079310255
106	0.6024060247
107	0.5976536405
108	0.5888294556
109	0.58028523
110	0.572655389
111	0.568066553
112	0.5572347433
113	0.547185631
114	0.5409808223
115	0.5329199379
116	0.5253492844
117	0.5174480179
118	0.5103440526
119	0.504162119
120	0.4990338659
121	0.4942856929
122	0.4901149335
123	0.4820016196
124	0.4761152425
125	0.4705247903
126	0.4610157245
127	0.4548547279
128	0.4478949557
129	0.4448512078
130	0.438980713
131	0.4346299409
132	0.4297244885
133	0.4229797128
134	0.4187963036
135	0.4134885538
136	0.410701433
137	0.4024544243
138	0.3967515862
139	0.3933324121
140	0.387051487
141	0.3829581086
142	0.3800043478
143	0.3746186736
144	0.3721801575
145	0.3694966849
146	0.3666685883
147	0.3608765871
148	0.3547987867
149	0.3515795322
150	0.3486948145
151	0.3433479866
152	0.3411099095
153	0.3383126369
154	0.335047174
155	0.3317966852
156	0.3273306759
157	0.3232561399
158	0.3201729084
159	0.3156190758
160	0.3114193916
161	0.3063423625
162	0.3021803864
163	0.2991647862
164	0.2954034286
165	0.2915900952
166	0.2888690123
167	0.2842701455
168	0.2806891375
169	0.2783743763
170	0.2749276151
171	0.2723150336
172	0.2691870799
173	0.2672581528
174	0.2646901607
175	0.2617108642
176	0.2570674499
177	0.2547117117
178	0.2521323632
179	0.2494724499
180	0.2481423434
181	0.2455696731
182	0.2425595933
183	0.2396220375
184	0.2366846921
185	0.2336252033
186	0.2315800749
187	0.2292255129
188	0.2277051735
189	0.2261790581
190	0.2231965396
191	0.2203064793
192	0.2172694073
193	0.2150906732
194	0.2130160339
195	0.2107420374
196	0.20968996
197	0.2071461477
198	0.205014824
199	0.2037596831
200	0.2023811469
201	0.2010212679
202	0.198728581
203	0.1957834369
204	0.1937710353
205	0.1915241845
206	0.1901464812
207	0.1881950703
208	0.186976463
209	0.1858644128
210	0.1833508088
211	0.180839532
212	0.1793662705
213	0.1777405126
214	0.1766849199
215	0.174764029
216	0.1726304751
217	0.1721430552
218	0.1707722701
219	0.1692252107
220	0.1674144066
221	0.1663804604
222	0.1652252841
223	0.1638070412
224	0.1626221163
225	0.1609692274
226	0.159105532
227	0.1581205026
228	0.1566907594
229	0.1550140847
230	0.1527430147
231	0.1508844295
232	0.1496526243
233	0.1481651415
234	0.1470172496
235	0.1447648533
236	0.143576156
237	0.1422452929
