iter	Passed	Remaining
0	6	6289
1	8	4066
2	9	3300
3	15	3848
4	17	3551
5	19	3275
6	23	3293
7	25	3167
8	33	3738
9	36	3628
10	38	3495
11	41	3410
12	44	3410
13	47	3379
14	51	3392
15	53	3301
16	57	3297
17	60	3293
18	63	3259
19	65	3227
20	68	3210
21	72	3213
22	75	3219
23	79	3244
24	82	3214
25	86	3222
26	89	3222
27	91	3185
28	94	3148
29	97	3156
30	99	3121
31	102	3112
32	106	3109
33	109	3122
34	112	3088
35	116	3106
36	118	3080
37	120	3053
38	124	3066
39	127	3061
40	130	3063
41	134	3076
42	137	3052
43	139	3029
44	144	3069
45	148	3076
46	150	3058
47	154	3068
48	157	3050
49	160	3054
50	163	3045
51	167	3047
52	171	3058
53	175	3078
54	178	3063
55	180	3050
56	184	3052
57	186	3026
58	189	3024
59	192	3014
60	195	3009
61	199	3012
62	203	3030
63	206	3021
64	210	3027
65	213	3016
66	215	2998
67	219	3007
68	223	3018
69	227	3027
70	230	3017
71	233	3007
72	235	2996
73	238	2989
74	240	2968
75	243	2957
76	246	2953
77	250	2955
78	253	2958
79	256	2952
80	260	2951
81	263	2944
82	266	2945
83	270	2952
84	274	2951
85	277	2953
86	281	2951
87	284	2945
88	286	2933
89	290	2933
90	294	2938
91	297	2938
92	302	2945
93	306	2949
94	308	2940
95	311	2932
96	314	2925
97	317	2923
98	322	2938
99	326	2934
100	329	2929
101	332	2931
102	336	2927
103	338	2917
104	341	2909
105	345	2913
106	348	2910
107	351	2903
108	353	2888
109	357	2891
110	360	2883
111	363	2880
112	366	2879
113	369	2870
114	371	2858
115	374	2850
116	379	2861
117	383	2865
118	385	2856
119	388	2848
120	390	2835
121	393	2832
122	398	2840
123	402	2845
124	406	2842
125	409	2842
126	411	2831
127	414	2827
128	417	2820
129	420	2813
130	424	2813
131	427	2808
132	429	2800
133	434	2810
134	438	2811
135	440	2801
136	445	2803
137	447	2797
138	451	2797
139	454	2794
140	457	2788
141	461	2786
142	463	2778
143	466	2771
144	469	2766
145	472	2764
146	475	2761
147	477	2750
148	480	2746
149	483	2741
150	485	2731
151	489	2733
152	492	2729
153	495	2723
154	498	2717
155	501	2714
156	505	2714
157	510	2720
158	513	2718
159	519	2725
160	525	2736
161	531	2747
162	535	2749
163	538	2747
164	542	2743
165	545	2743
166	550	2743
167	553	2741
168	558	2745
169	561	2741
170	564	2738
171	568	2736
172	570	2728
173	575	2729
174	578	2727
175	582	2724
176	586	2725
177	589	2722
178	593	2720
179	596	2719
180	600	2718
181	604	2716
182	607	2713
183	611	2711
184	614	2708
185	617	2704
186	622	2705
187	625	2702
188	629	2699
189	632	2698
190	635	2692
191	638	2686
192	642	2685
193	645	2683
194	649	2680
195	654	2684
196	658	2683
197	661	2680
198	664	2674
199	666	2665
200	669	2661
201	673	2660
202	676	2656
203	679	2652
204	681	2644
205	685	2643
206	688	2636
207	691	2634
208	695	2631
209	700	2636
210	704	2632
211	707	2629
212	710	2625
213	714	2623
214	718	2623
215	721	2616
216	724	2614
217	729	2616
218	734	2619
219	739	2620
220	742	2616
221	746	2616
222	750	2614
223	753	2609
224	756	2605
225	759	2600
226	762	2597
227	765	2593
228	768	2587
229	771	2581
230	775	2580
231	777	2575
232	780	2568
233	783	2563
234	785	2556
235	788	2554
236	792	2550
237	794	2543
238	796	2536
239	799	2531
240	801	2525
241	804	2518
242	807	2516
243	811	2513
244	814	2509
245	816	2502
246	819	2499
247	822	2492
248	825	2488
249	827	2483
250	832	2484
251	835	2478
252	837	2471
253	840	2468
254	842	2460
255	844	2455
256	847	2449
257	851	2447
258	853	2442
259	856	2437
260	860	2436
261	863	2431
262	865	2425
263	867	2419
264	870	2414
265	873	2411
266	877	2409
267	880	2403
268	882	2397
269	885	2394
270	887	2388
271	891	2385
272	895	2385
273	899	2382
274	902	2378
275	905	2376
276	909	2374
277	911	2367
278	914	2364
279	917	2358
280	920	2355
281	924	2352
282	927	2349
283	930	2345
284	934	2343
285	936	2338
286	939	2335
287	944	2334
288	947	2331
289	951	2328
290	954	2325
291	957	2322
292	961	2321
293	967	2322
294	971	2322
295	975	2319
296	978	2315
297	982	2313
298	985	2310
299	989	2308
300	992	2304
301	996	2302
302	1000	2300
303	1003	2298
304	1007	2295
305	1011	2294
306	1014	2290
307	1018	2287
308	1022	2286
309	1026	2283
310	1031	2284
311	1035	2282
312	1038	2278
313	1041	2275
314	1045	2272
315	1048	2269
316	1051	2265
317	1055	2262
318	1058	2258
319	1061	2255
320	1064	2251
321	1067	2248
322	1069	2241
323	1071	2235
324	1074	2232
325	1076	2226
326	1079	2220
327	1084	2222
328	1087	2217
329	1090	2214
330	1093	2210
331	1096	2205
332	1098	2200
333	1103	2200
334	1108	2200
335	1111	2197
336	1114	2193
337	1116	2187
338	1120	2184
339	1123	2180
340	1126	2176
341	1131	2176
342	1135	2174
343	1137	2168
344	1140	2164
345	1142	2159
346	1144	2154
347	1148	2151
348	1151	2147
349	1153	2142
350	1156	2138
351	1160	2136
352	1164	2133
353	1167	2129
354	1169	2125
355	1172	2120
356	1175	2117
357	1178	2113
358	1181	2109
359	1183	2104
360	1187	2101
361	1190	2098
362	1193	2095
363	1198	2094
364	1203	2093
365	1207	2091
366	1209	2086
367	1212	2083
368	1215	2079
369	1218	2074
370	1221	2071
371	1226	2069
372	1229	2067
373	1233	2064
374	1237	2062
375	1240	2059
376	1244	2056
377	1248	2053
378	1251	2050
379	1255	2048
380	1257	2043
381	1262	2041
382	1264	2036
383	1266	2031
384	1270	2029
385	1273	2025
386	1275	2020
387	1281	2022
388	1283	2016
389	1285	2011
390	1288	2006
391	1291	2002
392	1293	1997
393	1295	1992
394	1297	1987
395	1300	1983
396	1304	1981
397	1307	1977
398	1311	1974
399	1314	1972
400	1318	1969
401	1321	1965
402	1323	1961
403	1327	1957
404	1329	1953
405	1332	1949
406	1336	1947
407	1339	1943
408	1342	1940
409	1346	1937
410	1348	1932
411	1352	1929
412	1354	1925
413	1356	1920
414	1359	1916
415	1362	1913
416	1366	1910
417	1368	1904
418	1371	1901
419	1373	1897
420	1376	1893
421	1379	1889
422	1383	1887
423	1386	1884
424	1392	1884
425	1395	1879
426	1397	1875
427	1399	1871
428	1403	1868
429	1407	1865
430	1412	1865
431	1416	1862
432	1419	1859
433	1423	1856
434	1426	1852
435	1429	1849
436	1433	1847
437	1437	1845
438	1441	1842
439	1443	1837
440	1446	1833
441	1448	1829
442	1451	1824
443	1455	1822
444	1458	1818
445	1461	1815
446	1465	1813
447	1469	1810
448	1473	1807
449	1475	1803
450	1478	1799
451	1482	1797
452	1486	1794
453	1488	1790
454	1492	1787
455	1496	1785
456	1500	1782
457	1504	1780
458	1507	1776
459	1510	1773
460	1513	1769
461	1517	1767
462	1519	1762
463	1522	1759
464	1526	1755
465	1528	1751
466	1531	1747
467	1535	1745
468	1537	1740
469	1540	1736
470	1542	1732
471	1545	1729
472	1549	1726
473	1552	1722
474	1555	1719
475	1558	1715
476	1561	1712
477	1563	1707
478	1568	1705
479	1571	1702
480	1575	1699
481	1578	1696
482	1580	1692
483	1583	1687
484	1586	1684
485	1589	1681
486	1591	1676
487	1594	1672
488	1598	1669
489	1600	1665
490	1604	1662
491	1605	1658
492	1608	1654
493	1610	1649
494	1613	1646
495	1617	1643
496	1619	1639
497	1622	1635
498	1625	1632
499	1629	1629
500	1632	1626
501	1634	1621
502	1637	1617
503	1639	1613
504	1642	1610
505	1645	1606
506	1648	1602
507	1651	1599
508	1653	1595
509	1657	1592
510	1660	1588
511	1662	1584
512	1668	1583
513	1672	1581
514	1675	1578
515	1679	1575
516	1682	1571
517	1684	1567
518	1687	1564
519	1692	1561
520	1694	1558
521	1697	1554
522	1700	1550
523	1704	1548
524	1708	1545
525	1710	1541
526	1714	1538
527	1717	1535
528	1720	1531
529	1723	1528
530	1725	1524
531	1727	1519
532	1729	1515
533	1731	1511
534	1735	1508
535	1738	1505
536	1740	1500
537	1744	1497
538	1748	1495
539	1753	1493
540	1755	1489
541	1759	1486
542	1764	1485
543	1766	1481
544	1770	1477
545	1772	1474
546	1775	1470
547	1778	1466
548	1782	1464
549	1786	1461
550	1789	1457
551	1792	1454
552	1794	1450
553	1797	1447
554	1800	1443
555	1802	1439
556	1804	1435
557	1806	1431
558	1808	1426
559	1811	1423
560	1813	1419
561	1815	1415
562	1818	1411
563	1820	1407
564	1822	1403
565	1824	1399
566	1828	1396
567	1830	1392
568	1832	1388
569	1834	1383
570	1837	1380
571	1840	1376
572	1841	1372
573	1843	1368
574	1846	1364
575	1848	1360
576	1851	1357
577	1854	1354
578	1858	1351
579	1860	1347
580	1862	1343
581	1865	1339
582	1867	1336
583	1870	1332
584	1872	1328
585	1875	1325
586	1877	1320
587	1879	1317
588	1881	1313
589	1885	1309
590	1887	1306
591	1889	1301
592	1891	1298
593	1893	1294
594	1895	1290
595	1897	1286
596	1900	1283
597	1902	1279
598	1904	1275
599	1906	1271
600	1908	1267
601	1911	1263
602	1913	1259
603	1915	1255
604	1917	1251
605	1920	1248
606	1923	1245
607	1925	1241
608	1927	1237
609	1930	1234
610	1932	1230
611	1934	1226
612	1936	1222
613	1939	1219
614	1941	1215
615	1944	1211
616	1946	1207
617	1948	1204
618	1951	1200
619	1953	1197
620	1954	1193
621	1957	1189
622	1969	1192
623	1976	1190
624	1981	1188
625	1986	1186
626	1992	1185
627	1998	1183
628	2004	1182
629	2009	1180
630	2014	1177
631	2018	1175
632	2022	1172
633	2026	1169
634	2030	1166
635	2034	1164
636	2039	1162
637	2045	1160
638	2050	1158
639	2063	1160
640	2072	1160
641	2080	1160
642	2087	1159
643	2093	1157
644	2099	1155
645	2101	1151
646	2106	1149
647	2109	1146
648	2116	1144
649	2123	1143
650	2129	1141
651	2141	1142
652	2145	1140
653	2149	1136
654	2153	1134
655	2158	1132
656	2174	1135
657	2178	1132
658	2183	1129
659	2187	1126
660	2189	1122
661	2192	1119
662	2196	1116
663	2199	1113
664	2202	1109
665	2205	1105
666	2207	1102
667	2210	1098
668	2214	1095
669	2217	1092
670	2219	1088
671	2222	1084
672	2226	1081
673	2229	1078
674	2231	1074
675	2235	1071
676	2237	1067
677	2239	1063
678	2243	1060
679	2246	1057
680	2248	1053
681	2251	1050
682	2257	1047
683	2263	1045
684	2266	1042
685	2272	1040
686	2276	1037
687	2280	1034
688	2282	1030
689	2286	1027
690	2290	1024
691	2294	1021
692	2302	1020
693	2306	1016
694	2312	1014
695	2318	1012
696	2321	1009
697	2332	1009
698	2337	1006
699	2341	1003
700	2348	1001
701	2352	998
702	2357	995
703	2360	992
704	2364	989
705	2367	985
706	2370	982
707	2374	979
708	2376	975
709	2380	972
710	2385	969
711	2389	966
712	2394	963
713	2399	961
714	2408	959
715	2414	957
716	2418	954
717	2421	951
718	2425	947
719	2427	944
720	2430	940
721	2434	937
722	2436	933
723	2439	930
724	2442	926
725	2446	923
726	2448	919
727	2452	916
728	2455	912
729	2457	908
730	2461	905
731	2464	902
732	2467	898
733	2471	895
734	2474	892
735	2476	888
736	2480	885
737	2483	881
738	2486	878
739	2489	874
740	2492	871
741	2494	867
742	2497	863
743	2501	860
744	2503	856
745	2505	853
746	2508	849
747	2512	846
748	2513	842
749	2517	839
750	2520	835
751	2522	832
752	2526	828
753	2528	825
754	2530	821
755	2534	818
756	2538	814
757	2540	811
758	2543	807
759	2546	804
760	2549	800
761	2551	797
762	2558	794
763	2562	791
764	2564	787
765	2566	784
766	2568	780
767	2570	776
768	2574	773
769	2577	769
770	2579	766
771	2583	762
772	2585	759
773	2588	755
774	2590	752
775	2594	748
776	2596	745
777	2599	741
778	2601	738
779	2604	734
780	2607	731
781	2611	727
782	2613	724
783	2616	720
784	2620	717
785	2623	714
786	2625	710
787	2627	706
788	2631	703
789	2634	700
790	2636	696
791	2640	693
792	2643	689
793	2645	686
794	2649	683
795	2651	679
